te,max
546,30.1
547,30.1
548,30.1
549,29.3
550,29.9
551,29.3
552,27.5
553,27.7
554,28.8
555,30
556,29.5
557,29.9
558,30.1
559,29.6
560,28.7
561,29
562,29.6
563,30.1
564,28.8
565,29.3
566,28.7
567,28.9
568,27.5
569,27.4
570,28.2
571,29.1
572,27.7
573,27.3
574,27.9
575,28.3
576,29.1
577,28.8
578,29.9
579,29.4
580,28.5
581,28.7
582,29.2
583,29.1
584,28.9
585,27.6
586,27.8
587,27.9
588,28.2
589,27.9
590,27.7
591,27.5
592,27.4
593,27.7
594,28
595,28.2
596,28.6
597,28.7
598,28.7
599,27.4
600,27.8
601,25.5
602,25.8
603,27.4
604,27.8
605,27.4
606,28.6
607,27.9
608,27
609,26.3
610,26.8
611,27.6
612,27.6
613,27.8
614,28.4
615,27.9
616,27.4
617,26.9
618,27.6
619,27.7
620,28.7
621,28.2
622,28.5
623,28.8
624,29.4
625,29.2
626,29.5
627,28.9
628,28.6
629,28.9
630,27.7
631,28.2
632,28.6
633,28.7
634,28.2
635,29.6
636,29
637,28.8
638,27.6
639,28.1
640,28.6
641,28.5
642,28
643,26.9
644,27.7
645,26.4
646,25.4
647,24.6
648,26
649,26.4
650,27.4
651,28.4
652,27.9
653,26.7
654,26.9
655,27.5
656,28.1
657,27.9
658,27.7
659,29.4
660,30.1
661,29.5
662,28.6
663,27.7
664,26.6
665,27.3
666,26.4
667,26.8
668,27.1
669,26.8
670,27.4
671,26.4
672,26.2
673,27.6
674,27.6
675,29.1
676,27.8
677,27.5
678,27
679,27.4
680,27.7
681,27.4
682,27.1
683,28.4
684,28
685,28.3
686,25.3
687,25.5
688,26.2
689,26
690,25.9
691,25.1
692,25
693,25.7
694,25.7
695,25.9
696,26.3
697,25.5
698,26.1
699,26
700,26.5
701,26.6
702,26.9
703,27.4
704,26
705,26.4
706,23.5
707,22.3
708,21.1
709,22.9
710,22.1
711,26.7
712,27.1
713,28.1
714,28
715,26
716,25.9
717,24.8
718,24.2
719,23.6
720,23.9
721,24.6
722,25.2
723,25.1
724,24.9
725,24.9
726,25
727,26.2
728,26.2
729,26.3
730,26.5
731,25.9
732,25.6
733,26.3
734,27.1
735,26.8
736,25.1
737,23.3
738,23.5
739,25.1
740,25.5
741,25.1
742,24.7
743,24.7
744,24.9
745,25.7
746,26.4
747,25.7
748,23
749,22.7
750,26.5
751,26.8
752,26.4
753,26.7
754,26.7
755,26.1
756,25.1
757,22.8
758,25.8
759,25.9
760,25.9
761,26.9
762,26.7
763,27.1
764,26.1
765,27
766,27
767,26.9
768,26.7
769,25.8
770,26.1
771,26.9
772,27.6
773,26.1
774,24.7
775,25.8
776,26.2
777,27.9
778,29.5
779,30
780,29.8
781,28.7
782,28.4
783,29.2
784,29.4
785,28.2
786,28.9
787,28.1
788,28.7
789,26.6
790,29
791,29.3
792,28.5
793,29.2
794,29.1
795,28.8
796,29.8
797,30
798,29.4
799,29.5
800,28.7
801,27.6
802,29.1
803,30.8
804,29.2
805,29.2
806,30
