iter	Passed	Remaining
411	4100	95419
412	4106	95317
413	4112	95218
414	4119	95136
415	4125	95034
416	4131	94954
417	4137	94850
418	4143	94750
419	4149	94652
420	4156	94566
421	4162	94475
422	4169	94397
423	4176	94324
424	4186	94309
425	4194	94263
426	4200	94164
427	4207	94093
428	4213	93993
429	4218	93894
430	4224	93795
431	4230	93697
432	4236	93596
433	4242	93501
434	4249	93449
435	4259	93434
436	4265	93340
437	4271	93256
438	4280	93223
439	4295	93336
440	4303	93284
441	4312	93264
442	4322	93253
443	4329	93188
444	4336	93102
445	4342	93028
446	4348	92940
447	4355	92865
448	4363	92808
449	4373	92821
450	4385	92860
451	4396	92881
452	4412	92990
453	4419	92936
454	4426	92851
455	4431	92759
456	4440	92717
457	4452	92773
458	4458	92685
459	4464	92598
460	4471	92519
461	4481	92514
462	4488	92457
463	4494	92368
464	4500	92280
465	4506	92196
466	4512	92117
467	4522	92107
468	4528	92026
469	4534	91952
470	4545	91959
471	4556	91983
472	4567	91992
473	4579	92037
474	4587	91994
475	4595	91939
476	4603	91906
477	4611	91864
478	4619	91828
479	4628	91790
480	4635	91736
481	4641	91663
482	4650	91629
483	4655	91540
484	4664	91509
485	4671	91452
486	4677	91374
487	4687	91358
488	4698	91378
489	4704	91302
490	4712	91267
491	4723	91288
492	4732	91256
493	4738	91174
494	4743	91090
495	4749	91010
496	4755	90927
497	4764	90902
498	4773	90890
499	4784	90902
500	4791	90840
501	4798	90787
502	4807	90762
503	4813	90691
504	4820	90642
505	4837	90759
506	4848	90774
507	4856	90750
508	4869	90791
509	4875	90721
510	4883	90684
511	4892	90669
512	4899	90615
513	4906	90557
514	4924	90693
515	4938	90776
516	4950	90799
517	4958	90771
518	4970	90792
519	4979	90779
520	4988	90766
521	5029	91328
522	5036	91265
523	5043	91204
524	5049	91135
525	5056	91067
526	5062	90995
527	5068	90921
528	5076	90883
529	5093	91002
530	5104	91025
531	5113	91006
532	5128	91093
533	5135	91034
534	5146	91050
535	5153	90986
536	5159	90917
537	5168	90896
538	5175	90843
539	5181	90779
540	5188	90717
541	5200	90748
542	5210	90744
543	5218	90703
544	5225	90655
545	5233	90623
546	5240	90561
547	5246	90493
548	5253	90437
549	5260	90392
550	5267	90322
551	5275	90298
552	5282	90240
553	5290	90207
554	5296	90144
555	5305	90112
556	5313	90079
557	5321	90047
558	5329	90005
559	5336	89955
560	5347	89965
561	5354	89928
562	5360	89859
563	5367	89792
564	5374	89742
565	5380	89681
566	5389	89662
567	5400	89677
568	5406	89614
569	5412	89551
570	5419	89485
571	5425	89418
572	5431	89355
573	5439	89322
574	5446	89271
575	5454	89244
576	5462	89203
577	5477	89292
578	5491	89349
579	5500	89343
580	5508	89305
581	5515	89247
582	5527	89284
583	5545	89406
584	5557	89441
585	5566	89417
586	5572	89360
587	5579	89307
588	5589	89313
589	5596	89263
590	5604	89219
591	5610	89158
592	5618	89122
593	5625	89079
594	5631	89022
595	5638	88964
596	5644	88907
597	5651	88850
598	5662	88876
599	5673	88878
600	5685	88909
601	5691	88858
602	5701	88848
603	5711	88850
604	5729	88967
605	5739	88973
606	5747	88937
607	5756	88924
608	5764	88889
609	5770	88823
610	5776	88759
611	5784	88739
612	5790	88677
613	5801	88681
614	5813	88709
615	5821	88689
616	5837	88779
617	5853	88863
618	5862	88839
619	5871	88835
620	5878	88790
621	5886	88758
622	5898	88785
623	5904	88724
624	5911	88675
625	5917	88615
626	5923	88555
627	5933	88542
628	5941	88511
629	5949	88481
630	5956	88446
631	5963	88389
632	5969	88331
633	5977	88310
634	5986	88283
635	5995	88270
636	6039	88766
637	6053	88825
638	6059	88773
639	6066	88722
640	6072	88667
641	6079	88612
642	6086	88574
643	6094	88543
644	6112	88652
645	6123	88660
646	6131	88636
647	6138	88588
648	6144	88535
649	6150	88477
650	6157	88426
651	6164	88389
652	6172	88354
653	6185	88400
654	6205	88533
655	6220	88602
656	6226	88544
657	6232	88489
658	6241	88472
659	6253	88492
660	6271	88609
661	6277	88552
662	6284	88509
663	6291	88457
664	6299	88427
665	6308	88410
666	6316	88376
667	6322	88321
668	6329	88276
669	6337	88248
670	6350	88291
671	6360	88295
672	6373	88331
673	6381	88295
674	6389	88274
675	6398	88253
676	6405	88205
677	6411	88151
