iter	Passed	Remaining
410	4271	6121
411	4280	6109
412	4290	6097
413	4300	6087
414	4313	6080
415	4325	6072
416	4335	6061
417	4350	6057
418	4361	6048
419	4371	6036
420	4381	6025
421	4390	6013
422	4399	6001
423	4409	5989
424	4418	5977
425	4427	5966
426	4437	5954
427	4446	5942
428	4455	5930
429	4465	5919
430	4475	5908
431	4485	5897
432	4495	5887
433	4506	5877
434	4517	5867
435	4530	5860
436	4539	5848
437	4548	5836
438	4558	5825
439	4567	5813
440	4576	5801
441	4585	5789
442	4595	5777
443	4604	5766
444	4614	5754
445	4624	5743
446	4635	5734
447	4648	5727
448	4659	5718
449	4669	5706
450	4679	5696
451	4691	5688
452	4701	5676
453	4710	5664
454	4719	5653
455	4729	5641
456	4738	5630
457	4748	5619
458	4757	5607
459	4767	5596
460	4776	5584
461	4785	5572
462	4795	5561
463	4807	5553
464	4819	5544
465	4835	5540
466	4845	5530
467	4855	5519
468	4864	5507
469	4874	5496
470	4885	5487
471	4901	5482
472	4910	5471
473	4920	5459
474	4929	5448
475	4939	5437
476	4949	5426
477	4963	5420
478	4974	5410
479	4984	5400
480	4995	5389
481	5004	5378
482	5014	5367
483	5023	5355
484	5033	5344
485	5042	5333
486	5052	5322
487	5061	5310
488	5071	5299
489	5080	5288
490	5090	5276
491	5099	5265
492	5109	5254
493	5119	5243
494	5129	5232
495	5142	5225
496	5154	5217
497	5164	5206
498	5173	5194
499	5182	5182
500	5192	5171
501	5201	5160
502	5210	5148
503	5220	5137
504	5229	5125
505	5239	5114
506	5248	5103
507	5257	5092
508	5269	5083
509	5283	5075
510	5298	5070
511	5308	5059
512	5318	5048
513	5327	5037
514	5337	5026
515	5346	5015
516	5355	5003
517	5365	4992
518	5374	4980
519	5383	4969
520	5393	4958
521	5402	4947
522	5412	4936
523	5426	4929
524	5439	4921
525	5450	4911
526	5461	4901
527	5470	4890
528	5479	4878
529	5488	4867
530	5498	4856
531	5507	4844
532	5516	4833
533	5526	4822
534	5535	4811
535	5544	4799
536	5557	4791
537	5568	4782
538	5579	4771
539	5590	4762
540	5600	4751
541	5609	4740
542	5618	4728
543	5628	4717
544	5637	4706
545	5647	4695
546	5656	4684
547	5665	4673
548	5674	4661
549	5684	4651
550	5693	4639
551	5703	4629
552	5713	4617
553	5726	4610
554	5739	4602
555	5750	4592
556	5761	4581
557	5770	4570
558	5779	4559
559	5788	4548
560	5798	4537
561	5807	4526
562	5816	4514
563	5825	4503
564	5836	4493
565	5851	4487
566	5863	4477
567	5881	4473
568	5891	4462
569	5903	4453
570	5915	4444
571	5927	4435
572	5936	4424
573	5946	4413
574	5956	4402
575	5966	4391
576	5975	4380
577	5985	4369
578	5994	4358
579	6003	4347
580	6013	4336
581	6023	4325
582	6034	4316
583	6049	4308
584	6063	4301
585	6073	4291
586	6083	4280
587	6092	4269
588	6102	4257
589	6111	4247
590	6120	4235
591	6133	4227
592	6143	4216
593	6152	4205
594	6162	4194
595	6176	4186
596	6194	4181
597	6205	4171
598	6216	4161
599	6225	4150
600	6235	4139
601	6244	4128
602	6253	4117
603	6263	4106
604	6272	4095
605	6282	4084
606	6291	4073
607	6301	4062
608	6312	4052
609	6322	4042
610	6334	4032
611	6351	4026
612	6360	4015
613	6370	4004
614	6380	3994
615	6389	3982
616	6398	3972
617	6407	3960
618	6417	3949
619	6426	3939
620	6436	3928
621	6445	3917
622	6455	3906
623	6465	3896
624	6477	3886
625	6490	3877
626	6501	3867
627	6511	3857
628	6520	3846
629	6530	3835
630	6539	3824
631	6548	3813
632	6558	3802
633	6567	3791
634	6577	3780
635	6586	3769
636	6595	3758
637	6605	3748
638	6619	3739
639	6633	3731
640	6642	3720
641	6651	3709
642	6661	3698
643	6670	3687
644	6679	3676
645	6688	3665
646	6697	3654
647	6707	3643
648	6716	3632
649	6725	3621
650	6735	3610
651	6745	3600
652	6756	3590
653	6765	3579
654	6776	3569
655	6786	3558
656	6796	3548
657	6807	3538
658	6824	3531
659	6833	3520
660	6843	3509
661	6854	3499
662	6866	3490
663	6878	3480
664	6887	3469
665	6896	3458
666	6906	3447
667	6915	3437
668	6926	3426
669	6937	3416
670	6952	3408
671	6965	3399
672	6974	3388
673	6984	3378
674	6993	3367
675	7003	3356
676	7012	3345
677	7021	3334
678	7031	3324
679	7040	3313
680	7050	3302
681	7059	3291
682	7068	3280
683	7078	3269
684	7088	3259
685	7099	3249
686	7116	3242
687	7127	3232
688	7136	3221
689	7145	3210
690	7155	3199
691	7164	3188
692	7173	3177
693	7183	3167
694	7192	3156
695	7201	3145
696	7210	3134
697	7220	3124
698	7229	3113
699	7239	3102
700	7248	3091
701	7258	3081
702	7271	3071
703	7285	3063
704	7294	3052
705	7303	3041
706	7312	3030
707	7322	3019
708	7332	3009
709	7341	2998
710	7350	2987
711	7359	2977
712	7369	2966
713	7378	2955
714	7387	2944
715	7397	2934
716	7411	2925
717	7423	2915
718	7434	2905
719	7443	2894
720	7453	2884
721	7463	2873
722	7472	2862
723	7482	2852
724	7492	2841
725	7501	2831
726	7511	2820
727	7520	2809
728	7529	2799
729	7539	2788
730	7548	2777
731	7563	2769
732	7573	2758
733	7583	2748
734	7596	2738
735	7605	2728
736	7617	2718
737	7627	2707
738	7636	2697
739	7645	2686
740	7655	2675
741	7664	2665
742	7673	2654
743	7683	2643
744	7692	2632
745	7701	2622
746	7710	2611
